GUID,WAISCodingCompTime,GUID__indic,AgeYrs__indic,DaysSinceBaseline__indic,WAISCodingCompTime__indic,WAISSymbolTotRawScr__indic,WAISSymbolIncorrect__indic,WAISProcessSpdIndxPercntRank__indic
AA,Blue Pill,0,0,0,0,0,0,1
,Red Pill,1,1,1,0,1,1,1
,Yellow Pill,1,1,1,0,1,1,1
,Green Pill,1,1,1,0,1,1,1
,Brown Pill,1,1,1,0,1,1,1
,Pink Pill,1,1,1,0,1,1,1
,Polka-dotted Pill,1,1,1,0,1,1,1
BB,Blue Pill,0,0,0,0,0,1,0
,Red Pill,1,1,1,0,1,1,1
,Yellow Pill,1,1,1,0,1,1,1
,Green Pill,1,1,1,0,1,1,1
,Brown Pill,1,1,1,0,1,1,1
,Pink Pill,1,1,1,0,1,1,1
,Polka-dotted Pill,1,1,1,0,1,1,1
CC,Blue Pill,0,0,0,0,0,0,0
,Red Pill,1,1,1,0,1,1,1
,Pink Pill,1,1,1,0,1,1,1
,Brown Pill,1,1,1,0,1,1,1
DD,Blue Pill,0,0,0,0,0,0,1
,Red Pill,1,1,1,0,1,1,1
,Pink Pill,1,1,1,0,1,1,1
,Brown Pill,1,1,1,0,1,1,1
EE,Blue Pill,0,0,0,0,0,0,0
,Red Pill,1,1,1,0,1,1,1
,Pink Pill,1,1,1,0,1,1,1
,Brown Pill,1,1,1,0,1,1,1
FF,Blue Pill,0,0,0,0,0,0,0
,Red Pill,1,1,1,0,1,1,1
,Pink Pill,1,1,1,0,1,1,1
,Brown Pill,1,1,1,0,1,1,1
GG,Blue Pill,0,0,0,0,0,0,0
,Red Pill,1,1,1,0,1,1,1
,Pink Pill,1,1,1,0,1,1,1
,Brown Pill,1,1,1,0,1,1,1
HH,Blue Pill,0,0,0,0,0,0,0
,Red Pill,1,1,1,0,1,1,1
,Yellow Pill,1,1,1,0,1,1,1
,Green Pill,1,1,1,0,1,1,1
,Brown Pill,1,1,1,0,1,1,1
,Pink Pill,1,1,1,0,1,1,1
,Polka-dotted Pill,1,1,1,0,1,1,1
